Section,Subsection,Name,Cost (MiB),Description
education,electronics,xcircuit,1,Draw circuit schematics or almost anything
education,electronics,xoscope,ERROR,digital oscilloscope
education,geography,gmt,110,Generic Mapping Tools
education,geography,googleearth-package,N/A,N/A
education,geography,gpscorrelate,2,correlates digital photos with GPS data filling EXIF fields (command line)
education,geography,grass,93,Geographic Resources Analysis Support System (GRASS GIS)
education,geography,kgeography,24,geography learning aid for KDE
education,geography,mapserver-bin,27,MapServer utilities
education,geography,marble,64,globe and map widget
education,geography,openscenegraph,58,"3D scene graph, utilities and examples (binaries)"
education,geography,qgis,180,Geographic Information System (GIS)
education,geography,qlandkartegt,N/A,N/A
education,geography,viking,67,"GPS data editor, analyzer and viewer"
education,graphics,blender,ERROR,Very fast and versatile 3D modeller/renderer
education,graphics,dia,8,Diagram editor
education,graphics,gimp,47,GNU Image Manipulation Program
education,graphics,hugin,39,panorama photo stitcher - GUI tools
education,graphics,inkscape,22,vector-based drawing program
education,graphics,librecad,12,Computer-aided design (CAD) system
education,graphics,pencil2d,21,Create hand-drawn animation using both bitmap and vector graphics
education,graphics,scribus,93,Open Source Desktop Page Layout
education,graphics,tgif,57,2D vector graphic drawing tool using Xlib
education,graphics,xaos,1,real-time interactive fractal zoomer
education,graphics,xfig,14,Facility for Interactive Generation of figures under X11
education,graphics,xpaint,1,simple paint program for X
education,highschool,calibre,110,powerful and easy to use e-book manager
education,highschool,cantor,ERROR,interface for mathematical applications
education,highschool,carmetal,39,dynamic geometry software with highly ergonomic UI
education,highschool,chemtool,14,chemical structures drawing program
education,highschool,fritzing,18,Easy-to-use electronic design software
education,highschool,inkscape,22,vector-based drawing program
education,highschool,kalzium,80,periodic table and chemistry tools
education,highschool,kmplot,20,mathematical function plotter for KDE
education,highschool,ktouch,ERROR,touch typing tutor for KDE
education,highschool,kturtle,19,educational programming environment
education,highschool,lightspeed,1,Shows how objects moving at relativistic speeds look like
education,highschool,marble,64,globe and map widget
education,highschool,melting,40,compute the melting temperature of nucleic acid duplex
education,highschool,pencil2d,21,Create hand-drawn animation using both bitmap and vector graphics
education,highschool,rocs,ERROR,graph theory IDE
education,highschool,step,21,interactive physical simulator for KDE
education,highschool,yorick,2,interpreted language and scientific graphics
education,language,brazilian-conjugate,1,Brazilian Portuguese verb conjugator
education,language,collatinus,4,lemmatisation of latin text
education,language,dict,1,dictionary client
education,language,festival,2,General multi-lingual speech synthesis system
education,language,fonts-linex,2,Fonts suitable for education and institutional use
education,language,fonts-sil-doulos,2,smart Unicode font for Latin and Cyrillic scripts
education,language,fonts-sil-doulos-compact,2,smart Unicode font for Latin and Cyrillic scripts (tight spacing version)
education,language,kanagram,27,jumble word puzzle
education,language,khangman,27,Hangman word puzzle
education,language,kiten,31,Japanese reference and study aid for KDE
education,language,klavaro,1,Flexible touch typing tutor
education,language,klettres,61,foreign alphabet tutor for KDE
education,language,ktouch,ERROR,touch typing tutor for KDE
education,language,kwordquiz,21,flashcard learning program
education,language,parley,72,vocabulary trainer
education,language,trans-de-en,6,German-English translation dictionary
education,language,typespeed,1,Zap words flying across the screen by typing them correctly
education,language,verbiste-gnome,1,French and Italian conjugator - GNOME interface
education,language,wordnet,7,electronic lexical database of English language
education,language,xfonts-intl-phonetic,1,international fonts for X - International Phonetic Alphabet
education,language,xfonts-tipa,47,X11 PostScript Type 1 font for the Phonetic Alphabet
education,logic-games,atomix,1,puzzle game for building molecules out of separate atoms
education,logic-games,blinken,17,KDE version of the Simon electronic memory game
education,logic-games,cgoban,1,complete Go board
education,logic-games,crafty,1,"state-of-the-art chess engine, compatible with xboard"
education,logic-games,einstein,10,Puzzle game inspired on Einstein's puzzle
education,logic-games,gbrainy,21,brain teaser game and trainer to have fun and to keep your brain trained
education,logic-games,glpeces,3,Tangram (puzzle) game clone
education,logic-games,gnome-games,18,games for the GNOME desktop
education,logic-games,gnuchess,1,"Plays a game of chess, either against the user or against itself"
education,logic-games,gnugo,2,play the game of Go
education,logic-games,gtans,1,Tangram (puzzle) game using GTK+
education,logic-games,kdegames,140,games from the official KDE release
education,logic-games,lmemory,1,"Children's game based on the ""memory"" card game"
education,logic-games,ri-li,21,toy train simulation game
education,logic-games,xboard,2,X Window System Chess Board
education,mathematics,algobox,ERROR,algorithmics introduction - French UI
education,mathematics,cantor,ERROR,interface for mathematical applications
education,mathematics,carmetal,39,dynamic geometry software with highly ergonomic UI
education,mathematics,euler,1,interactive mathematical programming environment
education,mathematics,geogebra,59,Dynamic mathematics software for education
education,mathematics,geomview,6,interactive geometry viewing program
education,mathematics,gnuplot,7,Command-line driven interactive plotting program.
education,mathematics,grace,9,XY graphing and plotting tool
education,mathematics,graphmonkey,20,a GTK#-based graphing calculator
education,mathematics,gretl,ERROR,"GNU Regression, Econometric & Time-Series Library"
education,mathematics,jfractionlab,38,Educative program to practice fractions
education,mathematics,jupyter-nbformat,ERROR,Jupyter notebook format (tools)
education,mathematics,jupyter-notebook,ERROR,Jupyter interactive notebook
education,mathematics,kalgebra,ERROR,algebraic graphing calculator
education,mathematics,kbruch,19,fraction learning aid for KDE
education,mathematics,kig,ERROR,interactive geometry tool
education,mathematics,kile,88,KDE Integrated LaTeX Environment
education,mathematics,kmplot,20,mathematical function plotter for KDE
education,mathematics,mathomatic,1,portable Computer Algebra System (CAS)
education,mathematics,octave,ERROR,GNU Octave language for numerical computations
education,mathematics,pari-gp,4,PARI/GP Computer Algebra System binaries
education,mathematics,python3-jupyter-sphinx-theme,11,Jupyter Sphinx Theme -- Python 3
education,mathematics,python3-matplotlib,20,Python based plotting system in a style similar to Matlab (Python 3)
education,mathematics,r-cran-rcmdr,170,GNU R platform-independent basic-statistics GUI
education,mathematics,rkward,ERROR,KDE frontend to the R statistics language
education,mathematics,rocs,ERROR,graph theory IDE
education,mathematics,scilab,160,Scientific software package for numerical computations
education,mathematics,wxmaxima,16,GUI for the computer algebra system Maxima
education,mathematics,xaos,1,real-time interactive fractal zoomer
education,mathematics,xmabacus,2,simulation of the ancient calculator (Motif version)
education,mathematics,yacas,11,Computer Algebra System
education,misc,basket,ERROR,multi-purpose note-taking application
education,misc,colobot,89,educational programming strategy game
education,misc,freeplane,97,Java program for working with Mind Maps
education,misc,jclic,39,Tool for the development & use of multimedia educational activities
education,misc,laby,ERROR,Learn how to program with ants and spider webs
education,misc,planner,2,project management application
education,misc,scratch,27,easy to use programming environment for ages 8 and up
education,misc,thonny,13,Python IDE for beginners
education,misc,tilp2,ERROR,Texas Instruments hand-helds <-> PC communication program for X
education,misc,vym,ERROR,mindmapping tool
education,music,audacious,10,small and fast audio player which supports lots of formats
education,music,audacity,13,"fast, cross-platform audio editor"
education,music,denemo,ERROR,free graphical music notation editor (GTK front end to LilyPond)
education,music,festival,2,General multi-lingual speech synthesis system
education,music,fluidsynth,7,Real-time MIDI software synthesizer
education,music,gtick,1,Metronome application
education,music,hydrogen,10,advanced drum machine/step sequencer
education,music,lilypond,16,program for typesetting sheet music
education,music,lingot,1,accurate and easy to use musical instrument tuner
education,music,lmms,25,Linux Multimedia Studio
education,music,mcp-plugins,1,LADSPA plugins designed for Alsa Modular Synth
education,music,musescore,47,"cross-platform multi-lingual music composition and notation, v2"
education,music,musescore3,49,"cross-platform multi-lingual music composition and notation, v3"
education,music,nted,1,Musical score editor
education,music,pianobooster,130,Learn the piano just by playing a game
education,music,qsynth,7,fluidsynth MIDI sound synthesiser front-end
education,music,rosegarden,17,music editor and MIDI/audio sequencer
education,music,solfege,ERROR,Ear training software
education,music,swh-plugins,1,Steve Harris's LADSPA plugins
education,music,terminatorx,3,realtime audio synthesizer
education,music,timgm6mb-soundfont,6,TimGM6mb SoundFont from MuseScore 1.3
education,music,tuxguitar,75,Multitrack guitar tablature editor and player (gp3 to gp5)
education,physics,etoys,15,"media-rich model, simulation construction kit and authoring tool"
education,physics,jupyter-nbformat,ERROR,Jupyter notebook format (tools)
education,physics,jupyter-notebook,ERROR,Jupyter interactive notebook
education,physics,kturtle,19,educational programming environment
education,physics,lightspeed,1,Shows how objects moving at relativistic speeds look like
education,physics,planets,1,Gravitation simulation of planetary bodies
education,physics,python3-jupyter-sphinx-theme,11,Jupyter Sphinx Theme -- Python 3
education,physics,python3-matplotlib,20,Python based plotting system in a style similar to Matlab (Python 3)
education,physics,python3-pyode,1,Python bindings for The Open Dynamics Engine
education,physics,step,21,interactive physical simulator for KDE
education,physics,xoscope,ERROR,digital oscilloscope
education,preschool,bambam,12,keyboard mashing and doodling game for babies
education,preschool,blinken,17,KDE version of the Simon electronic memory game
education,preschool,gamine,12,Interactive game for young children
education,preschool,gcompris-qt,78,educational games for small children
education,preschool,kanagram,27,jumble word puzzle
education,preschool,khangman,27,Hangman word puzzle
education,preschool,klettres,61,foreign alphabet tutor for KDE
education,preschool,ktuberling,64,stamp drawing toy
education,preschool,pysiogame,27,educational activity pack for kids
education,preschool,tuxpaint,180,Paint program for young children
education,primaryschool,basket,ERROR,multi-purpose note-taking application
education,primaryschool,gcompris-qt,78,educational games for small children
education,primaryschool,glpeces,3,Tangram (puzzle) game clone
education,primaryschool,kalgebra,ERROR,algebraic graphing calculator
education,primaryschool,kalzium,80,periodic table and chemistry tools
education,primaryschool,kanagram,27,jumble word puzzle
education,primaryschool,kbruch,19,fraction learning aid for KDE
education,primaryschool,kgeography,24,geography learning aid for KDE
education,primaryschool,khangman,27,Hangman word puzzle
education,primaryschool,kig,ERROR,interactive geometry tool
education,primaryschool,klettres,61,foreign alphabet tutor for KDE
education,primaryschool,kmplot,20,mathematical function plotter for KDE
education,primaryschool,kstars,72,"desktop planetarium, observation planning and telescope control"
education,primaryschool,ktouch,ERROR,touch typing tutor for KDE
education,primaryschool,ktuberling,64,stamp drawing toy
education,primaryschool,kturtle,19,educational programming environment
education,primaryschool,kwordquiz,21,flashcard learning program
education,primaryschool,marble,64,globe and map widget
education,primaryschool,parley,72,vocabulary trainer
education,primaryschool,pysiogame,27,educational activity pack for kids
education,primaryschool,qabcs,35,educational software to learn the alphabet and get familiar with a keyboard
education,primaryschool,ri-li,21,toy train simulation game
education,primaryschool,step,21,interactive physical simulator for KDE
education,primaryschool,tuxmath,19,math game for kids with Tux
education,primaryschool,tuxpaint,180,Paint program for young children
education,primaryschool,tuxtype,20,Educational Typing Tutor Game Starring Tux
education,primaryschool,ulcc,4,teaching children by pictures
education,secondaryschool,basket,ERROR,multi-purpose note-taking application
education,secondaryschool,calibre,110,powerful and easy to use e-book manager
education,secondaryschool,carmetal,39,dynamic geometry software with highly ergonomic UI
education,secondaryschool,chemtool,14,chemical structures drawing program
education,secondaryschool,einstein,10,Puzzle game inspired on Einstein's puzzle
education,secondaryschool,fritzing,18,Easy-to-use electronic design software
education,secondaryschool,inkscape,22,vector-based drawing program
education,secondaryschool,kalgebra,ERROR,algebraic graphing calculator
education,secondaryschool,kalzium,80,periodic table and chemistry tools
education,secondaryschool,kbruch,19,fraction learning aid for KDE
education,secondaryschool,kgeography,24,geography learning aid for KDE
education,secondaryschool,kig,ERROR,interactive geometry tool
education,secondaryschool,kmplot,20,mathematical function plotter for KDE
education,secondaryschool,kstars,72,"desktop planetarium, observation planning and telescope control"
education,secondaryschool,ktouch,ERROR,touch typing tutor for KDE
education,secondaryschool,ktuberling,64,stamp drawing toy
education,secondaryschool,kturtle,19,educational programming environment
education,secondaryschool,kwordquiz,21,flashcard learning program
education,secondaryschool,lightspeed,1,Shows how objects moving at relativistic speeds look like
education,secondaryschool,marble,64,globe and map widget
education,secondaryschool,melting,40,compute the melting temperature of nucleic acid duplex
education,secondaryschool,parley,72,vocabulary trainer
education,secondaryschool,pencil2d,21,Create hand-drawn animation using both bitmap and vector graphics
education,secondaryschool,ri-li,21,toy train simulation game
education,secondaryschool,step,21,interactive physical simulator for KDE
education,secondaryschool,vokoscreen-ng,8,easy to use screencast creator
education,video,ffmpeg,19,"Tools for transcoding, streaming and playing of multimedia files"
education,video,gstreamer1.0-plugins-ugly,1,"GStreamer plugins from the ""ugly"" set"
education,video,kdenlive,ERROR,non-linear video editor
education,video,kino,N/A,N/A
education,video,libdvdcss2,0,library for accessing encrypted DVDs
education,video,openshot-qt,ERROR,create and edit videos and movies
education,video,pitivi,67,non-linear audio/video editor using GStreamer
education,video,stopmotion,3,create stop-motion animations
education,video,xine-ui,15,"xine video player, graphical user interface"
games,adventure,beneath-a-steel-sky,110,classic 2D point and click science fiction adventure game
games,adventure,bsdgames,ERROR,collection of classic textual unix games
games,adventure,dmagnetic,1,Interpreter to play textadventures from Magnetic Scrolls in glorious ANSI Art
games,adventure,drascula,69,classic 2D point and click adventure game -- English version
games,adventure,fizmo-ncursesw,1,Ncurses-based Z-machine interpreter for Infocom/Inform games
games,adventure,fizmo-sdl2,1,SDL2-based Z-machine interpreter for Infocom/Inform games
games,adventure,flight-of-the-amazon-queen,77,classic 2D point and click fantasy adventure game
games,adventure,freedink,64,humorous top-down adventure and role-playing game
games,adventure,frotz,1,interpreter of Z-code story-files
games,adventure,gargoyle-free,11,graphical player for Interactive Fiction games
games,adventure,glulxe,1,Interpreter for glulx interactive fiction
games,adventure,instead,10,Simple text adventures/visual novels engine
games,adventure,jzip,1,Text mode interpreter for Z-Code adventures
games,adventure,lure-of-the-temptress,52,classic 2D point and click fantasy adventure game
games,adventure,onscripter,9,Visual novel games engine compatible to NScripter
games,adventure,qtads,10,Qt HTML interpreter for TADS
games,adventure,renpy-thequestion,N/A,N/A
games,adventure,rlvm,12,RealLive virtual machine clone
games,adventure,scottfree,1,Interpreter for Adventure International games
games,adventure,scummvm,44,engine for several graphical adventure games
games,adventure,scummvm-tools,7,collection of tools for ScummVM
games,adventure,sdlfrotz,7,interpreter of Z-code story-files (SDL version)
games,adventure,sludge-devkit,10,Development tools for creating SLUDGE adventure games
games,adventure,sludge-engine,9,Runtime engine for playing SLUDGE adventure games
games,adventure,xsystem35,1,System 3.5 games engine for X Window System
games,adventure,xzip,1,Interpreter of Infocom-format story-files
games,adventure,zoom-player,1,player for Z-Code stories or games
games,arcade,a7xpg,13,chase action game
games,arcade,abe,11,"side-scrolling game named ""Abe's Amazing Adventure"""
games,arcade,adanaxisgpl,N/A,N/A
games,arcade,airstrike,3,2d dogfight game in the tradition of 'Biplanes' and 'BIP'
games,arcade,alienblaster,14,Classic 2D shoot 'em up
games,arcade,antigravitaattori,4,Multiplayer flying saucer racing game
games,arcade,armagetronad,3,3D Tron-like high speed game
games,arcade,asylum,9,surreal platform shooting game
games,arcade,atanks,5,tank-battling game
games,arcade,ballerburg,2,Classical castle combat game
games,arcade,barrage,9,Rather destructive action game
games,arcade,bloboats,3,Boat racing game
games,arcade,bomberclone,16,free Bomberman clone
games,arcade,bouncy,13,eat the yummy veggies in the garden - game for small kids
games,arcade,briquolo,12,fast paced 3d Breakout game
games,arcade,btanks,29,fast 2D tank arcade game with multiplayer and split-screen modes
games,arcade,bugsquish,9,Bugs are trying to suck blood out of your arm!
games,arcade,bumprace,13,1 or 2 players race through a multi-level maze
games,arcade,burgerspace,9,Avoid evil foodstuffs and make burgers
games,arcade,ceferino,10,action game similar to Super Pang
games,arcade,chromium-bsu,4,"fast paced, arcade-style, scrolling space shooter"
games,arcade,circuslinux,10,Clowns are trying to pop balloons to score points!
games,arcade,criticalmass,11,Shoot-em-up a la galaxian
games,arcade,cutemaze,1,single player maze game
games,arcade,dangen,2,shoot 'em up game where accurate shooting matters
games,arcade,dodgindiamond2,9,Little shoot-'em-up arcade game for one or two players
games,arcade,efp,2,Escape from Pong NES game
games,arcade,epiphany,10,clone of Boulder Dash game
games,arcade,excellent-bifurcation,2,abstract vertical shooter with two sides to play on
games,arcade,freedroid,14,Clone of Paradroid - a strategic shoot-em up
games,arcade,freegish,3,physics based arcade game
games,arcade,fretsonfire,N/A,N/A
games,arcade,funguloids,18,space-flying-mushroom-picking-simulator game
games,arcade,funnyboat,17,side scrolling arcade shooter game on a steamboat
games,arcade,garden-of-coloured-lights,3,abstract vertical shooter with music elements
games,arcade,gav,2,GPL Arcade Volleyball
games,arcade,geki2,1,Xenon-like vertical shoot'em-up
games,arcade,geki3,1,R-Type-like horizontal shoot'em-up
games,arcade,gltron,5,3D lightcycle game
games,arcade,gnome-games,18,games for the GNOME desktop
games,arcade,gravitation,2,"game about mania, melancholia, and the creative process"
games,arcade,gravitywars,2,clone of Gravity Force
games,arcade,gunroar,15,360-degree gunboat shooter
games,arcade,hannah,12,"pacman-like game, child oriented"
games,arcade,hedgewars,160,"Funny turn-based artillery game, featuring fighting hedgehogs!"
games,arcade,heroes,9,Collect powerups and avoid your opponents' trails
games,arcade,icebreaker,9,Break the iceberg
games,arcade,ii-esu,10,shooter game
games,arcade,jmdlx,N/A,N/A
games,arcade,jumpnbump,15,cute multiplayer platform game with bunnies
games,arcade,jumpnbump-levels,15,cute multiplayer platform game with bunnies (extra levels)
games,arcade,kdegames,140,games from the official KDE release
games,arcade,ketm,3,old school 2D-scrolling shooter
games,arcade,kobodeluxe,3,game of space battle
games,arcade,komi,9,Single player arcade game with Komi the Space Frog!
games,arcade,koules,1,abstract space action game
games,arcade,krank,69,game of dexterity where you match stones together
games,arcade,kraptor,10,Classic shoot 'em up scroller game
games,arcade,late,3,simple game of capturing balls
games,arcade,lbreakout2,11,ball-and-paddle game with nice graphics
games,arcade,lierolibre,9,old-school earthworm action game
games,arcade,luola,12,multiplayer cave-flying game
games,arcade,madbomber,11,Kaboom! clone
games,arcade,maelstrom,2,Arcade-style game resembling Asteroids
games,arcade,marsshooter,71,ridiculous space shooter governed by the laws of gravity
games,arcade,mirrormagic,8,Shoot around obstacles to collect energy using your beam.
games,arcade,monster-masher,3,GPL'ed mash'em-up action game for GNOME
games,arcade,moon-buggy,1,Drive a car across the moon
games,arcade,moon-lander,10,game based on the classic moon lander
games,arcade,mousetrap,9,Simple game of ball chasing
games,arcade,mrboom,8,8 player Bomberman
games,arcade,mrrescue,15,Mr Rescue is an arcade 2d action game
games,arcade,mu-cade,15,"physics centipede invasion, smashup waggly shmup"
games,arcade,netmaze,1,3-D Multiplayer Combat Game
games,arcade,netrek-client-cow,10,client for netrek online game
games,arcade,neverball,34,3D floor-tilting game
games,arcade,njam,10,pacman-like game with multiplayer support
games,arcade,noiz2sa,16,abstract arcade shooter
games,arcade,open-invaders,4,Space Invaders clone
games,arcade,orbital-eunuchs-sniper,12,"anti-terrorist, pro-Eunuchs, satellite sniping game"
games,arcade,overgod,2,bi-directional scrolling arcade game
games,arcade,pacman,1,Chase Monsters in a Labyrinth
games,arcade,pangzero,19,action game that involves popping balloons with a harpoon
games,arcade,parsec47,14,retromodern hispeed shmup
games,arcade,passage,2,game about the passage through life
games,arcade,pekka-kana-2,12,2D Oldschool platform game where you control a rooster
games,arcade,penguin-command,9,missile command clone
games,arcade,performous,6,karaoke game that allows user supplied songs
games,arcade,pianobooster,130,Learn the piano just by playing a game
games,arcade,pinball,13,Emilia Pinball Emulator
games,arcade,pinball-table-gnu,21,GNU Pinball table for emilia pinball
games,arcade,pinball-table-hurd,15,HURD Pinball table for emilia pinball
games,arcade,plee-the-bear,42,2D platform game
games,arcade,pong2,3,Remake of old arcade classic in OpenGL
games,arcade,powermanga,18,vertical shoot 'em up with colourful 3D graphics
games,arcade,projectl,10,sword action shooting
games,arcade,rafkill,6,vertical shoot'em-up similar to Raptor: Call of the Shadows
games,arcade,ri-li,21,toy train simulation game
games,arcade,rockdodger,9,Fly through an asteroid field avoiding rocks and greeblies
games,arcade,rrootage,12,arcade-style space shooting game
games,arcade,scorched3d,42,3D artillery game similar to Scorched Earth
games,arcade,sdl-ball,12,brick-breaking game like DX-Ball/Arkanoid
games,arcade,snake4,1,Snake game
games,arcade,solarwolf,14,Collect the boxes and don't become mad
games,arcade,sopwith,2,port of the 1980's side-scrolling WWI dogfighting game
games,arcade,spacearyarya,1,third person shooter in pseudo-3D
games,arcade,spout,N/A,N/A
games,arcade,starfighter,54,2D scrolling shooter game
games,arcade,starvoyager,2,"2D space arcade game, themed around 'Star Trek' - binary"
games,arcade,supertransball2,9,Thrust type of game
games,arcade,supertux,150,Classic 2D jump 'n run sidescroller with Tux
games,arcade,tatan,10,pointing STG shooter game
games,arcade,tecnoballz,10,breaking block game ported from the Amiga platform
games,arcade,teeworlds,9,online multi-player platform 2D shooter
games,arcade,tenmado,2,hard-core shoot 'em up game in blue-or-red world
games,arcade,titanion,14,strike down super high-velocity swooping insects
games,arcade,tomatoes,17,I Have No Tomatoes - tomato smashing game
games,arcade,torus-trooper,16,speeding ship sailing through barrage
games,arcade,trackballs,43,OpenGL-based game of steering a marble through a labyrinth
games,arcade,transcend,1,"retro-style, abstract 2D shooter"
games,arcade,triplane,10,side-scrolling dogfighting game
games,arcade,tumiki-fighters,14,sticky 2D shooter
games,arcade,tuxmath,19,math game for kids with Tux
games,arcade,tuxpuck,2,air hockey game for single players
games,arcade,tuxtype,20,Educational Typing Tutor Game Starring Tux
games,arcade,val-and-rick,11,shooter game
games,arcade,vectoroids,9,vector-based rock-shooting
games,arcade,viruskiller,11,Game about viruses invading your computer
games,arcade,vonsh,9,Snake-like game with line of people running around to get more food
games,arcade,vor,9,2D action game about dodging rocks in space
games,arcade,warmux,110,turn-based artillery game on 2D maps
games,arcade,wing,1,Galaga-like arcade game
games,arcade,wizznic,24,implementation of the arcade classic Puzznic
games,arcade,wordwarvi,9,retro-styled side-scrolling shoot'em up arcade game
games,arcade,xbill,1,Get rid of those Wingdows Viruses!
games,arcade,xblast-tnt,3,multiplayer blast-the-others game inspired by Dynablaster
games,arcade,xevil,1,A violent side-scrolling game for X
games,arcade,xgalaga,1,X version of the famous Galaga game
games,arcade,xgalaga++,1,"classic single screen vertical shooter, inspired by xgalaga"
games,arcade,xinv3d,1,3D space invaders for X
games,arcade,xonix,1,game to carve up the screen whilst dodging monsters
games,arcade,xracer,3,Futuristic racing game
games,arcade,xsoldier,2,"shoot 'em up game with the ""not shooting"" bonus"
games,arcade,xtron,1,Tron game for X11
games,arcade,zatacka,2,arcade multiplayer game like nibbles
games,board,3dchess,1,Play chess across 3 boards!
games,board,ace-of-penguins,1,penguin-themed solitaire games
games,board,biloba,11,turn based strategy board game for up to 4 players
games,board,brutalchess,4,3D chess game with reflection of the chessmen
games,board,bsdgames,ERROR,collection of classic textual unix games
games,board,cgoban,1,complete Go board
games,board,cl-reversi,1,Reversi game for Common Lisp
games,board,colorcode,1,advanced clone of the MasterMind code-breaking game
games,board,dossizola,2,Isola board game with nice graphics
games,board,eboard,2,GTK+ chessboard program
games,board,el-ixir,1,two-player board game with randomness
games,board,fairymax,1,xboard compatible chess and chess-variant engine
games,board,filler,37,simple game where two players try to capture half the board
games,board,fltk1.3-games,1,"Fast Light Toolkit - example games: checkers, sudoku"
games,board,gamazons,1,Amazons boardgame for GNOME
games,board,gbatnav,1,networked BattleShip game
games,board,glaurung,1,"free UCI chess engine, to calculate chess moves"
games,board,gnome-games,18,games for the GNOME desktop
games,board,gnubg,9,graphical or console backgammon program with analysis
games,board,gnuchess,1,"Plays a game of chess, either against the user or against itself"
games,board,gnugo,2,play the game of Go
games,board,gnuminishogi,1,"program to play minishogi, a shogi variant on a 5x5 board"
games,board,grhino,2,othello/reversi boardgame
games,board,gtkatlantic,1,Game like Monopoly
games,board,gtkboard,9,many board games in one program
games,board,hachu,1,"AI engine for many Shogi and Chess variants, including Chu, Sho, and Dai Shogi"
games,board,hexxagon,3,Hexagonal Ataxx clone
games,board,jester,1,board game similar to Othello
games,board,kdegames,140,games from the official KDE release
games,board,kgames,1,Venerable selection of Xaw-based games
games,board,mah-jong,1,Original Mah-Jong game
games,board,mancala,1,Implementation of the simple board game called Mancala
games,board,mgt,1,game record display/editor for the oriental game of go
games,board,monopd,1,Monopoly game network server
games,board,morris,1,Nine men's morris game
games,board,nettoe,1,networked version of Tic Tac Toe (3x3 Grid) for the console
games,board,openyahtzee,6,classic dice game of Yahtzee
games,board,peg-e,1,peg elimination solitaire game
games,board,peg-solitaire,1,Board game for one player with pegs
games,board,pegsolitaire,1,education game similar to Hi-Q
games,board,pente,1,five in a row game for X and the console
games,board,pentobi,48,clone of the strategy board game Blokus
games,board,pgn-extract,1,Portable Game Notation (PGN) extractor
games,board,phalanx,1,Chess playing program
games,board,pioneers,4,Settlers of Catan board game
games,board,qgo,3,Go client and full featured SGF editor
games,board,quarry,1,"Board games Go, Amazons, and Reversi (a.k.a. Othello)"
games,board,ricochet,3,multi-user networked version of the Ricochet Robots game
games,board,scid,9,chess database with play and training functionality
games,board,sgf2dg,8,Converts Smart Go Format (SGF) files to Go diagrams
games,board,sjeng,1,chess program that plays many variants
games,board,texlive-games,57,TeX Live: Games typesetting
games,board,tourney-manager,9,perl interface to run chess engine tournaments
games,board,xboard,2,X Window System Chess Board
games,board,xchain,1,strategy game for 2-4 players
