Tags,Package,Name,Verdict,Useful?/Replayable?,Best?,REPL-less?,GUI?,Windowed?,Starts fast?,Runs fast?,Install Cost,Home Cost,Rank,Notes
games tetris,xbubble,Puzzle Bobble,FAIL,Yes,No,Yes,Yes,Yes,Yes,Yes,6,,24928,"No .desktop launcher.  Animations look OK, but menus are alpha quality.  Lacks polish.  Prefer frozen-bubble?  Prefer browser version?"
education graphics,gimp,Photo Editor,PASS?,Yes,Yes,FAIL,Yes,Yes,Yes(ish),Yes,47,,1358,"POPULAR (days per site-year).  Easily the best raster image editor.  Includes python (nerfed?).  Includes TinyScheme (not nerfed?!)"
education graphics,xpaint,,FAIL,,No,,,,,,,1,12428,"Small, but ugly. Prefer gimp."
education geography primaryschool secondaryschool,marble-qt,Terrestrial Globe,PASS,Yes,Yes,Yes,Yes,Yes,Yes,,,,,"POPULAR (days per site-year). Could be replaced by nationalmap.gov (3D) or openstreetmap.org (2D only), but only after we make squid-acl-check handle more requests-per-second"
education geography primaryschool secondaryschool KDE,marble,Terrestrial Globe,FAIL,,,,,,,,64,,6766,"Prefer marble-qt (KDE-less version)"
games GNOME,gnome-klotski,Klotski,PASS,,,,,,,,2,,4831,"POPULAR (days per site-year).  Works fine.  Smallish.  Has about 15 separate puzzles for replay."
games GNOME,iagno,Reversi (Othello),PASS,No,Yes,Yes,Yes,Yes,Yes,Yes,1,,4812,"POPULAR (days per site-year).  AI or 2P hotseat.  Poor replay value compared to (say) chess.  Small enough we do not care?"
games KDE,kreversi,Reversi (Othello),FAIL,,No,,,,,,21,,11719,"Ugly.  Messy menus.  Prefer iagno."
games board,jester,Reversi (Othello),FAIL,,,,,,,,1,,32248,"Ugly.  Prefer iagno.  https://screenshots.debian.net/package/jester#gallery-1"
games board puzzle,fltk1.3-games,Reversi/Checkers/Sudoku,FAIL,,No,,,,,,1,,24674,"These games look ugly and feel ugly. Fail."
games PrisonPC,fltk1.1-games,Reversi/Checkers/Sudoku,FAIL,,No,,,,,,1,,58163,"These games look ugly and feel ugly. Fail."
games arcade,bomberclone,Bomberman clone,,Yes,Yes?,,,,,,16,-,28547,"POPULAR (days per site-year).  FIXME: re-review in Debian 11."
games KDE,granatier,Bomberman clone,FAIL,,No,,,,,,22,,12031,"No AI (MP-only).  2P-5P adversarial keyboard sharing.  37 arenas.  Powerups.  Feels very slow by default.  Barely OK, but not great or amazing at all."
games arcade,mrboom,Bomberman clone,FAIL,,No,,,,,,8,,30363,"Graphics OK, but I cannot work out how to actually PLAY.  Also frame rate seems to drop when you actually play.  Theoretically does 2P keyboard sharing.  No menu, only CLI args to change game mode.  Not ideal."
games arcade,tomatoes,Bomberman clone,FAIL,,No,,,No,,,17,,28436,"Sound is super fucked-up. Several alternatives mimic the Bomberman gameplay more accurately: granatier, bomberclone, xblast-tnt.  bomberclone is the least bad, but only by a small margin.  They're all pretty bad.  HCC *still* gets this as at 2022!"
games arcade,xblast-tnt,Bomberman clone,,,,,,,,,9,,32357,"Optional extra packages xblast-tnt-levels xblast-tnt-musics xblast-tnt-sounds increase install cost from 3MB to 9MB."
--------------------,--------------------,UNPOPULAR,----,----,----,----,----,----,----,----,----,----,----,--------------------
games PrisonPC TWB-HATES,frogatto,,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,230,,27646,"UNPOPULAR (hours per site-year).  Looks real good.  Kinda big footprint."
games platform TWB-LIKES,seahorse-adventures,,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,23,,38804,"NEW.  Good platforming feel.  C64/NES-era graphics.  Slightly novel gameplay (climb enemy corpses).  Only about 9 levels (poor replay), but they might be long?  Most of the install footprint is a stupid unwanted fonts package (same problem as supertuxkart)."
games adventure TWB-HATES,beneath-a-steel-sky,,PASS,,,,,,,,110,,18744,"UNPOPULAR (hours per site-year).  Linear story, so no replay value whatsoever."
games adventure TWB-HATES,flight-of-the-amazon-queen,,PASS,,,,,,,,77,,21917,"UNPOPULAR (hours per site-year).  Linear story, so no replay value whatsoever."
games adventure TWB-HATES,lure-of-the-temptress,,PASS,,,,,,,,52,,23889,"NEW.  Linear story, so no replay value whatsoever."
games platform,nikwi,Nikwi Deluxe,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,,29150,"UNPOPULAR (hours per site-year).  A bit dorky but basically fine."
games GNOME,four-in-a-row,Connect 4,PASS,No?,,,,,,,1,,4494,"UNPOPULAR (hours per site-year).  BORING!  vs. AI or 2-player hotseat."
games KDE,kfourinline,Connect 4,FAIL,No?,No,,,,,,21,,11872,"BORING!  Prefer four-in-a-row."
games board,xvier,Connect 4,FAIL,No?,No,,,,,,1,,28443,"BORING!  Prefer four-in-a-row."
education graphics science typesetting,dia,Diagram Editor,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,,4977,"UNPOPULAR (hours per site-year).  Should always install 'dia-shapes' also (only adds 1MB to install cost)."
education graphics typesetting,xfig,Diagram Editor,FAIL,Yes,No,,,,,,14,,6879,"UGLY.  Did not bother to test fully.  Prefer dia."
games arcade,kobodeluxe,Bosconian clone,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,,23195,"UNPOPULAR (hours per site-year)"
games finest simulation TWB-HATES,lincity-ng,SimCity clone,,,,,,No!,,,54,,19240,"UNPOPULAR (hours per site-year)"
games simulation,lincity,SimCity clone,,,,,,,,,1,,25128,
games simulation,opencity,SimCity clone,,,,,,,,,16,,22229,
games finest simulation,micropolis,SimCity clone,,,,,,,,,11,,18757,
games KDE,kolf,MiniGolf,PASS,,,,,,,,21,,12116,"UNPOPULAR (hours per site-year). Basically OK.  Hotseat adversarial multiplayer."
games finest sport,neverputt,MiniGolf,FAIL,,No,,,,,,23,,16125,"Ugly and messy.  Makes kolf look good."
games minesweeper GNOME,gnome-mines,Minesweeper,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,-,4209,"UNPOPULAR (hours per site-year)"
games board card finest minesweeper puzzle,ace-of-penguins,Minesweeper &c,FAIL,,,,,,,,1,,11187,"Prefer aisleriot and gnome-mines?"
games minesweeper puzzle,xdemineur,Minesweeper,FAIL,,,,,,,,1,,16992,"Prefer gnome-mines"
games finest minesweeper puzzle,sgt-puzzles,Minesweeper &c,PASS?,,,,,,,,2,,8818,"Prefer gnome-mines (for minesweeper).  There's a few other unique puzzles... do we care?  sgt-cube & sgt-map are pretty cool.  Default menu colors are a bit broken."
games minesweeper puzzle,xbomb,Minesweeper,FAIL,,,,,,,,1,,20752,"Prefer gnome-mines"
games minesweeper KDE,kmines,Minesweeper,FAIL,,,,,,,,21,,9483,"Prefer gnome-mines"
games finest strategy,pingus,Lemmings clone,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,20,,15088,"UNPOPULAR (hours per site-year)"
games puzzle,lix,Lemmings clone,FAIL,,No,,,,,,21,,26365,"Looks a little worse than pingus?  Seems to play OK except mouse control is COMPLETELY broken in boot-test."
games arcade shootemup,starfighter,,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,54,,25867,"UNPOPULAR (hours per site-year)"
education language games typing,klavaro,Typing Tutor,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,-,10855,"UNPOPULAR (hours per site-year).  Added to replace ktouch (we hate KDE).  Nobody ever asked for this.  It's small enough we do not care."
games typing,nlkt,Typing Tutor,FAIL,Yes,No,,,,,,2,,27712,"Prefer klavaro."
games arcade finest shootemup,supertransball2,Zarathrusta clone,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,,27403,"UNPOPULAR (hours per site-year).  Confusing controls, but has built-in instruction screens.  Small, but Alt+Enter fullscreen toggles.  Prefer: https://hayesmaker64.itch.io/thrust-30  https://itch.io/games/html5/tag-thrust"
games finest platform,caveexpress,Zarathrusta-like,PASS,Yes,Yes,Yes,Yes,No,Yes,Yes,21,,26725,"NEW.  Zarathrusta-like game with novel theme.  Good gameplay.  I *think* lots of levels?  Prefer: https://hayesmaker64.itch.io/thrust-30  https://itch.io/games/html5/tag-thrust"
games arcade finest strategy,warmux,Worms clone,PASS,Yes,Yes?,Yes,Yes,Yes,Yes,Yes,110,,21480,"UNPOPULAR (hours per site-year).  vs. AI or adversarial hotseat multiplayer"
games arcade finest strategy,hedgewars,Worms clone,PASS,Yes,Yes?,Yes,Yes,Yes,Yes,Yes,160,,15755,"NEW.  About equally polish with warmux.  Offers net play (bad) but does not work (good)."
games arcade finest,scorched3d,Worms 3D clone,FAIL?,,No,Yes,Yes,Yes,Yes,Yes,42,,24559,"Far less polished than the 2D games.  Menu and 3D models are a bit fucked. Settings page looks OK.  I guess TECHNICALLY passes?"
games tetris,crack-attack,Tetris Attack clone,FAIL,Yes,No,Yes,Yes,Yes,Yes,Yes,9,,18339,"UNPOPULAR (hours per site-year).  Nice particle effects.  1P only, therefore prefer blockattack or stax."
games finest puzzle,blockattack,Tetris Attack clone,PASS,Yes,Yes?,Yes,Yes,Yes,Yes,Yes,14,,25987,"NEW.  Polished.  1P or adversarial 2P KB-sharing.  Graphics slightly childish, but overall very nice."
games tetris,stax,Tetris Attack clone,PASS,Yes,Yes?,Yes,Yes,Yes,Yes,Yes,2,,34040,"Kinda OK.  1P score attack or 2P adversarial.  Game variations.  Good play feel.  Looks uglier than blockattack, but has a couple more game modes.  Small, so I think we should ship BOTH?"
games puzzle,blocks-of-the-undead,Tetris Attack clone,FAIL,,,,,,,,10,,32466,"VERY UGLY.  No good points."
games tetris,gemdropx,Tetris Attack clone,FAIL,,,,,,,,9,,26521,"VERY UGLY.  No good points."
games tetris,angrydd,Tetris Attack clone,FAIL,,,,,,,,16,,18123,"Fails with pygame error 'missing module constants'.  Screenshots look OK but not great.  Fuck it."
games tetris,blockout2,Tetris 3D,PASS?,,,,,,,,13,,19864,"Better than xwelltris."
games tetris puzzle,freealchemist,Dr. Mario (Tetris) clone,FAIL,,,,,,,,12,,26502,"Not polished enough.  Too alpha."
games tetris,cuyo,PuyoPuyo Tetris clone,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,12,,20887,"Same as flobopuyo but not fullscren by default.  Wins slightly over flobopuyo.  https://www.youtube.com/watch?v=K9nyFL3UPoI"
games tetris,flobopuyo,PuyoPuyo Tetris clone,FAIL,Yes,No,Yes,Yes,No,Yes,Yes,10,,22065,"1P or 2P adversarial.  No maximize option (except fullscreen).  Prefer cuyo.  https://www.youtube.com/watch?v=K9nyFL3UPoI"
games arcade,lierolibre,Liero,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,,29075,"UNPOPULAR (hours per site-year).  Like worms, but real-time.  2P adversarial keyboard sharing."
games arcade finest shootemup,torus-trooper,Tempest-like,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,16,-,28401,"UNPOPULAR (hours per site-year).  Kenta Cho.  Abstract 3D tempest clone.  Plays great."
games puzzle GNOME,hitori,,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,,4909,"UNPOPULAR (hours per site-year).  Sudoku-like game.  I don't understand it, but it has a help that explains it.  Small enough I do not care."
education graphics secondaryschool,inkscape,Vector Graphics Editor,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,22,-,1840,"UNPOPULAR (hours per site-year).  Easily the best vector image editor.  Online manuals only. Included 'scripting' just embeds javascript in images - no REPL."
education graphics,tgif,Vector Graphics Editor,FAIL,,,,,,,,57,,21321,"Includes package management (tex-common).  FIXME: this is probably unreasonable.  FIXME: debian-11-install-footprint.py wrongly thinks this is installable?"
games arcade racing,gltron,,,,,,,,,,5,,23158,"UNPOPULAR (hours per site-year).  Differently but equally janky as armagetronad."
games arcade finest ,armagetronad,,,,,,,,,,3,,16414,"NEW.  Differently but equally janky as gltron."
games arcade shootemup,alienblaster,Raiden clone,FAIL,Yes,,Yes,Yes,Yes,Yes,Yes,14,,24655,"UNPOPULAR (hours per site-year).  Co-op (each player uses half keyboard). Ugly and basic, but works.  Prefer tyrian, or powermanga?"
games arcade finest shootemup,chromium-bsu,Raiden-like,FAIL,Yes,,Yes,Yes,Yes,Yes,Yes,4,,16476,"Particle effects, but does not really play any better than alienblaster.  Prefer tyrian."
games arcade finest shootemup,powermanga,Raiden-like,PASS,Yes,Yes,Yes,Yes,No,Yes,Yes,18,,22939,"VERY polished, but no randomness, so re-playing levels 1-20 to get to the hard levels feels kinda boring.  Defaults to fullscreen, but can pass --windowed to .desktop, or tap f to toggle while running."
games arcade shootemup,rafkill,Raiden clone,FAIL,,No,,Yes,No,,,6,,32108,"No .desktop.  Sound is fucked.  Fullscreen.  Broken resolution on fullscreen exist."
games PrisonPC,opentyrian,Raiden-like,PASS,Yes,Yes,Yes,Yes,,Yes,Yes,5,,31879,"NEW.  Formerly a $15 shareware game from the 1990s.  Pretty good!  You MUST 'apt install tyrian-data opentyrian' (i.e. both package names)."
games PrisonPC,astromenace,Raiden-like,FAIL,Yes,No,Yes,Yes,No,Yes,No?,50,,29106,"This plays like Tyrian but using 3D assets instead of pixel art.  The assets look OK.  The actual gameplay is dull and shit.  There are 15 missions, with a store in between missions to buy upgrades.  The entire first mission was boring as fuck.  No windowed mode.  Prefer Tyrian."
games arcade,garden-of-coloured-lights,Raiden-like,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,,32158,"More bullet-hell than other raidens.  Good beep-boop music.  Ugly splash.  No way to change resolution."
education,gjiten,Japanese/English Dictionary,PASS,No,Yes,Yes,Yes,Yes,Yes,Yes,5,-,31179,"UNPOPULAR (hours per site-year).  Kanji dictionary.  They're all basically the same.  tagainijisho is gone in Debian 11."
education language KDE,kiten,Japanese/English Dictionary,FAIL,,No,,,,,,31,,9543,"Prefer gjiten because we hate KDE."
education geography primaryschool secondaryschool KDE,kgeography,Geography Trainer,PASS,Yes,No,Yes,Yes,Yes,Yes,Yes,24,-,10383,"UNPOPULAR (hours per site-year).  FIXME: switch to web-based e.g. https://online.seterra.com/en  NOTE: partly available in gcompris-qt (Pig > Geography > Locate the region).  NOTE: partially overlaps with MUCH more popular marble-qt (Terrestrial Globe)"
games arcade finest,burgerspace,BurgerTime clone,PASS,Yes?,Yes,Yes,Yes,Yes,Yes,Yes,9,,23636,"UNPOPULAR (hours per site-year).  Fullscreen (F11) breaks resolution.  Prefer browser version.  https://archive.org/embed/arcade_cbtime  https://archive.org/embed/msdos_BurgerTime_1982 https://archive.org/embed/flash_burgertime"
games finest puzzle,enigma,Oxyd clone,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,42,,18799,"UNPOPULAR (hours per site-year).  Not working in boot-test VM, but otherwise OK"
games puzzle,kball,Oxyd clone,FAIL,Yes,No,,,No,,,7,,43480,"Really ugly.  Prefer enigma."
chemistry primaryschool secondaryschool science,gelemental,Periodic Table,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,-,20190,"UNPOPULAR (hours per site-year).  Nobody ever asked for this.  It's small enough we do not care?  FIXME: GTK2 -- will go away.  FIXME: bg color bugged - but only on PrisonPC?  FIXME: switch to web-based e.g. https://en.wikipedia.org/wiki/Periodic_table"
education chemistry science nanoscale-physics,gperiodic,Periodic Table,FAIL,,,,,,,,1,,17508,"Mostly identical to gelemental.  FIXME: GTK2 -- will go away.  Less configurable.  Prefer gelemental."
chemistry primaryschool secondaryschool KDE science,kalzium,Periodic Table,FAIL,,No,,,,,,80,,9688,"Prefer gelemental because we hate KDE."
education preschool primaryschool games puzzle typing,gcompris-qt,Edutainment Suite,PASS,No?,Yes?,Yes,Yes,Yes,Yes,Yes,78,,8886,"UNPOPULAR (hours per site-year).  Big collection of tiny toys for toddlers.  Are any inmates that remedial?  FIXME: has missing dependencies for graphics and sound.  These get implicitly met by something else in Blackgate and AMC images currently, but not in a 'just gcompris, thanks' image."
